date,cloud_cover,valid_px,ndwi_mean,ndwi_std,ndti_mean,ndti_std,turb_mean,turb_std,month,ndwi_mean_zscore,ndwi_mean_anomaly,ndti_mean_zscore,ndti_mean_anomaly,turb_mean_zscore,turb_mean_anomaly,any_anomaly
2022-04-04,15.773147,80667,0.0467,0.0077,-0.0275,0.005,0.9465,0.0094,2022-04,-1.797,False,2.216,True,2.247,True,True
2022-04-19,1.747091,80666,0.0566,0.0232,-0.0345,0.008,0.9334,0.0149,2022-04,-1.325,False,1.699,False,1.71,False,False
2022-05-04,0.002621,80655,0.0526,0.011,-0.0368,0.0073,0.929,0.0135,2022-05,-1.516,False,1.529,False,1.529,False,False
2022-05-09,1.220961,80667,0.0558,0.0094,-0.0389,0.0061,0.9252,0.0113,2022-05,-1.363,False,1.374,False,1.373,False,False
2022-05-14,12.120719,16778,0.0325,0.0138,-0.0104,0.0076,0.9796,0.0148,2022-05,-2.475,True,3.48,True,3.605,True,True
2022-05-29,4.11138,80667,0.0583,0.014,-0.0411,0.0078,0.9212,0.0144,2022-05,-1.244,False,1.211,False,1.209,False,False
2022-06-08,3.001229,80620,0.0738,0.0145,-0.0493,0.0068,0.9061,0.0124,2022-06,-0.505,False,0.606,False,0.59,False,False
2022-06-13,0.000538,80292,0.0771,0.0162,-0.0553,0.0068,0.8952,0.0121,2022-06,-0.347,False,0.162,False,0.143,False,False
2022-06-23,18.966222,80274,0.0813,0.0158,-0.0593,0.0106,0.8883,0.0188,2022-06,-0.147,False,-0.133,False,-0.14,False,False
2022-07-08,4.430653,80547,0.0951,0.0144,-0.0482,0.0109,0.9082,0.0201,2022-07,0.512,False,0.687,False,0.676,False,False
2022-07-18,2.410442,80631,0.0809,0.0089,-0.0502,0.0067,0.9044,0.0121,2022-07,-0.166,False,0.539,False,0.52,False,False
2022-07-28,17.419453,80546,0.0919,0.0098,-0.0585,0.0073,0.8896,0.0131,2022-07,0.359,False,-0.074,False,-0.087,False,False
2022-08-02,1.850761,80528,0.0933,0.0149,-0.0639,0.0109,0.8801,0.0191,2022-08,0.426,False,-0.473,False,-0.477,False,False
2022-08-07,6.357431,5014,0.1076,0.008,-0.0621,0.0077,0.8831,0.0137,2022-08,1.108,False,-0.34,False,-0.354,False,False
2022-08-17,0.446745,80633,0.1094,0.0098,-0.0691,0.0075,0.8708,0.0131,2022-08,1.194,False,-0.857,False,-0.858,False,False
2022-08-22,11.220713,80667,0.1223,0.0153,-0.0764,0.0113,0.8582,0.0195,2022-08,1.809,False,-1.397,False,-1.375,False,False
2022-09-11,12.186041,72445,0.101,0.0168,-0.0588,0.0088,0.889,0.0159,2022-09,0.793,False,-0.096,False,-0.112,False,False
2022-09-16,13.878295,80584,0.1048,0.016,-0.0551,0.0096,0.8957,0.0175,2022-09,0.974,False,0.177,False,0.163,False,False
2022-11-05,3.750137,4481,0.0934,0.0295,-0.0458,0.0161,0.9128,0.0304,2022-11,0.43,False,0.864,False,0.865,False,False
2022-11-10,5.659271,80666,0.1066,0.0126,-0.0625,0.0068,0.8825,0.0121,2022-11,1.06,False,-0.37,False,-0.378,False,False
2022-11-20,14.471903,57246,0.0929,0.0187,-0.0513,0.0111,0.9027,0.0205,2022-11,0.407,False,0.458,False,0.45,False,False
2022-11-25,12.896982,4727,0.1152,0.028,-0.0627,0.0124,0.8822,0.0227,2022-11,1.47,False,-0.385,False,-0.39,False,False
2022-12-05,1.301104,80654,0.087,0.0092,-0.052,0.0055,0.9013,0.0099,2022-12,0.125,False,0.406,False,0.393,False,False
2022-12-15,0.987153,80662,0.0874,0.0115,-0.053,0.0071,0.8995,0.0127,2022-12,0.144,False,0.332,False,0.319,False,False
2023-01-04,11.960013,59274,0.1051,0.021,-0.0629,0.0098,0.8817,0.0176,2023-01,0.989,False,-0.399,False,-0.411,False,False
2023-01-09,0.000534,80662,0.0906,0.009,-0.0595,0.0053,0.8878,0.0094,2023-01,0.297,False,-0.148,False,-0.161,False,False
