date,cloud_cover,valid_px,ndwi_mean,ndwi_std,ndti_mean,ndti_std,turb_mean,turb_std
2021-01-14,12.491551,5012,0.6241,0.1687,-0.3134,0.0675,0.5268,0.0796
2021-01-19,16.741792,61147,0.4065,0.103,-0.2415,0.0702,0.6173,0.113
2021-01-24,6.27761,80667,0.6156,0.1292,-0.3741,0.0756,0.46,0.0816
2021-03-05,0.023119,80667,0.7095,0.1131,-0.4432,0.0541,0.3877,0.0524
2021-04-14,0.184462,2022,0.1231,0.089,-0.1257,0.167,0.8199,0.3031
2021-04-19,0.330371,80666,0.6322,0.0885,-0.3597,0.045,0.4725,0.0485
2021-04-24,0.275616,80667,0.6808,0.103,-0.3729,0.0518,0.4588,0.0546
2021-04-29,0.141433,80667,0.6239,0.0734,-0.3484,0.0415,0.4847,0.0456
2021-05-14,2.607932,80667,0.7057,0.1402,-0.3774,0.0722,0.456,0.076
2021-05-19,0.470088,80666,0.9116,0.0894,-0.5267,0.0996,0.3154,0.0839
2021-05-29,10.685486,5014,0.6651,0.0996,-0.3784,0.0694,0.4546,0.0727
2021-07-03,11.59457,80667,0.938,0.07,-0.4795,0.071,0.3549,0.0651
2021-07-13,5.450152,79420,0.6544,0.1867,-0.3445,0.0872,0.4944,0.1068
2021-07-28,14.261435,5014,0.9461,0.0622,-0.4382,0.0668,0.3936,0.0641
2021-08-02,18.423138,80667,0.6159,0.0805,-0.3051,0.0476,0.5345,0.0557
2021-08-07,13.872687,80667,0.7678,0.0752,-0.3655,0.0397,0.4659,0.0424
2021-08-17,0.122146,80656,0.8311,0.086,-0.4198,0.0483,0.4103,0.0477
2021-08-22,0.060298,80667,0.8443,0.0777,-0.4043,0.052,0.4262,0.0523
2021-09-01,1.515211,80667,0.6309,0.0713,-0.331,0.0397,0.5039,0.0443
2021-09-06,2.477388,80667,0.8054,0.0874,-0.3919,0.039,0.438,0.0403
2021-09-11,4.156228,80667,0.7957,0.0763,-0.3766,0.0379,0.4539,0.0396
2021-10-06,7.571048,80667,0.6251,0.0766,-0.3404,0.0362,0.4932,0.0401
2021-10-26,11.794836,74677,0.5776,0.1231,-0.3266,0.0562,0.5105,0.0671
2021-11-15,1.782804,80298,0.2423,0.034,-0.1336,0.0212,0.7649,0.033
2021-12-10,4.692274,80392,0.1756,0.0439,-0.0766,0.0243,0.8588,0.0433
2021-12-15,0.035162,80666,0.4765,0.1803,-0.2628,0.0871,0.5918,0.1162
2021-12-20,10.647207,80664,0.2018,0.0608,-0.1778,0.0351,0.6996,0.0521
2021-12-25,2.979781,80665,0.3917,0.0775,-0.2466,0.0467,0.6068,0.064
2021-12-30,16.834814,3553,0.3302,0.0897,-0.145,0.04,0.7489,0.0634
2022-02-13,14.494196,5014,0.0947,0.0121,-0.0609,0.0098,0.8853,0.0173
2022-02-18,0.493001,80664,0.1053,0.0142,-0.0719,0.01,0.8661,0.0174
2022-03-10,15.274213,5014,0.1116,0.02,-0.0253,0.024,0.9518,0.0499
2022-03-20,18.008833,73561,0.0737,0.0127,-0.0402,0.0076,0.9229,0.0144
2022-04-04,15.773147,80667,0.0467,0.0077,-0.0275,0.005,0.9465,0.0094
2022-04-19,1.747091,80666,0.0566,0.0232,-0.0345,0.008,0.9334,0.0149
2022-05-04,0.002621,80655,0.0526,0.011,-0.0368,0.0073,0.929,0.0135
2022-05-09,1.220961,80667,0.0558,0.0094,-0.0389,0.0061,0.9252,0.0113
2022-05-14,12.120719,16778,0.0325,0.0138,-0.0104,0.0076,0.9796,0.0148
2022-05-29,4.11138,80667,0.0583,0.014,-0.0411,0.0078,0.9212,0.0144
2022-06-08,3.001229,80620,0.0738,0.0145,-0.0493,0.0068,0.9061,0.0124
2022-06-13,0.000538,80292,0.0771,0.0162,-0.0553,0.0068,0.8952,0.0121
2022-06-23,18.966222,80274,0.0813,0.0158,-0.0593,0.0106,0.8883,0.0188
2022-07-08,4.430653,80547,0.0951,0.0144,-0.0482,0.0109,0.9082,0.0201
2022-07-18,2.410442,80631,0.0809,0.0089,-0.0502,0.0067,0.9044,0.0121
2022-07-28,17.419453,80546,0.0919,0.0098,-0.0585,0.0073,0.8896,0.0131
2022-08-02,1.850761,80528,0.0933,0.0149,-0.0639,0.0109,0.8801,0.0191
2022-08-07,6.357431,5014,0.1076,0.008,-0.0621,0.0077,0.8831,0.0137
2022-08-17,0.446745,80633,0.1094,0.0098,-0.0691,0.0075,0.8708,0.0131
